il,urun,toprak_tipi,iklim_tipi,onerilen_yontem
Giresun,Üzüm,Killi,Az Yağışlı,Organik Gübre
Malatya,Çilek,Killi,Kurak,Malçlama
Çorum,Nohut,Killi,Rüzgarlı,Kompost
Kastamonu,Kayısı,Toprak A,Rüzgarlı,Azot Takviyesi
Mardin,Nohut,Bazik,Soğuk,Damla Sulama
Bayburt,Arpa,Kahverengi,Kurak,Yağmur Suyu Toplama
Bursa,Üzüm,Kumlu,Karadeniz,Azot Takviyesi
Mersin,Zeytin,Organik,Karasal,Malçlama
Uşak,Sarımsak,Verimli,Çok Yağışlı,Azot Takviyesi
Niğde,Mısır,Taşlı,Rüzgarlı,Nöbetleşe Ekim
Sinop,Domates,Kahverengi,Yazı Kısa,Nöbetleşe Ekim
Erzincan,Mısır,Alüvyal,Yarı Kurak,Rüzgar Kıran
Isparta,Sarımsak,Taşlı,Yarı Kurak,Damla Sulama
Diyarbakır,Mercimek,Kumlu,Yazı Kısa,Damla Sulama
İstanbul,Ayçiçeği,Kahverengi,Don Tehlikesi,Toprak Analizi
Bursa,Nohut,Drenajlı,Ilık Kış,Organik Gübre
Gümüşhane,Soğan,Tınlı,Rüzgarlı,Toprak Analizi
Elazığ,Kayısı,Zayıf,Sıcak,Kompost
Bolu,Soğan,Kumlu,Kurak,Yağmur Suyu Toplama
Adana,Sarımsak,Kahverengi,Az Yağışlı,Nöbetleşe Ekim
Zonguldak,Çilek,Zayıf,Nem Düşük,Bitki Örtüsü Koruma
Batman,Buğday,Çorak,Kurak,Kompost
Adıyaman,Fasulye,Alüvyal,Ilık Kış,Organik Gübre
Kahramanmaraş,Sarımsak,Drenajlı,Kışı Uzun,Rüzgar Kıran
Kırşehir,Domates,Sert,Kurak,Toprak Analizi
Hatay,Arpa,Yumuşak,Kışı Uzun,Toprak Analizi
Yalova,Üzüm,Tuzlu,Az Yağışlı,Yağmur Suyu Toplama
Bitlis,Zeytin,Toprak A,Yüksek Rakım,Toprak Analizi
Bayburt,Ayçiçeği,Toprak A,Az Yağışlı,Nöbetleşe Ekim
İzmir,Üzüm,Tuzlu,Soğuk,Bitki Örtüsü Koruma
Antalya,Kayısı,Yumuşak,Rüzgarlı,Nöbetleşe Ekim
Muğla,Sarımsak,Tınlı,Akdeniz,Toprak Analizi
Eskişehir,Pamuk,Tınlı,Ilık Kış,Organik Gübre
Samsun,Zeytin,Killi,Akdeniz,Kompost
Giresun,Patates,Toprak A,Alçak Rakım,Organik Gübre
Diyarbakır,Ayçiçeği,Kireçli,Kışı Uzun,Rüzgar Kıran
Kahramanmaraş,Domates,Kahverengi,Rüzgarlı,Rüzgar Kıran
Ardahan,Zeytin,Kırmızı,Sıcak,Yağmur Suyu Toplama
Adıyaman,Mısır,Kahverengi,Yazı Kısa,Nöbetleşe Ekim
Hatay,Mısır,Asidik,Kurak,Yağmur Suyu Toplama
Bilecik,Üzüm,Killi,Alçak Rakım,Azot Takviyesi
Konya,Kayısı,Drenajlı,Don Tehlikesi,Rüzgar Kıran
Ağrı,Mısır,Kırmızı,Çok Yağışlı,Damla Sulama
Eskişehir,Elma,Drenajlı,Akdeniz,Damla Sulama
Bingöl,Mısır,Yumuşak,Akdeniz,Damla Sulama
Isparta,Arpa,Tuzlu,Kurak,Nöbetleşe Ekim
Manisa,Buğday,Bazik,Nem Düşük,Yağmur Suyu Toplama
Bartın,Nohut,Tınlı,Soğuk,Malçlama
Erzincan,Karpuz,Asidik,Akdeniz,Nöbetleşe Ekim
Muğla,Kabak,Asidik,Akdeniz,Toprak Analizi
Adana,Mercimek,Alüvyal,Yazı Kısa,Toprak Analizi
Düzce,Sarımsak,Organik,Alçak Rakım,Organik Gübre
Aksaray,Domates,Yumuşak,Nemli,Azot Takviyesi
Ordu,Kabak,Toprak B,Sıcak,Rüzgar Kıran
Çanakkale,Ayçiçeği,Drenajlı,Yarı Kurak,Azot Takviyesi
Sivas,Pamuk,Alüvyal,Nem Düşük,Rüzgar Kıran
Malatya,Üzüm,Yumuşak,Akdeniz,Rüzgar Kıran
Gümüşhane,Kayısı,Toprak B,Kurak,Malçlama
Zonguldak,Fasulye,Çorak,Yazı Kısa,Damla Sulama
Van,Mercimek,Killi,Karadeniz,Toprak Analizi
Muğla,Kayısı,Kumlu,Ilıman,Toprak Analizi
Kırklareli,Çilek,Asidik,Alçak Rakım,Yağmur Suyu Toplama
Giresun,Biber,Asidik,Kışı Uzun,Yağmur Suyu Toplama
Muş,Arpa,Toprak B,Kışı Uzun,Nöbetleşe Ekim
Artvin,Karpuz,Kırmızı,Çok Yağışlı,Kompost
Tunceli,Domates,Taşlı,Ilık Kış,Toprak Analizi
Şırnak,Mercimek,Çorak,Akdeniz,Damla Sulama
Kars,Karpuz,Killi,Az Yağışlı,Kompost
Bitlis,Kabak,Asidik,Ilıman,Kompost
Muş,Arpa,Toprak B,Ilıman,Kompost
Siirt,Fasulye,Kahverengi,Az Yağışlı,Damla Sulama
Mersin,Nohut,Çorak,Karasal,Nöbetleşe Ekim
Bursa,Kayısı,Zayıf,Soğuk,Azot Takviyesi
Ardahan,Ayçiçeği,Verimli,Az Yağışlı,Malçlama
Hatay,Üzüm,Zayıf,Çok Yağışlı,Toprak Analizi
İstanbul,Nohut,Kireçli,Az Yağışlı,Malçlama
Isparta,Arpa,Bazik,Soğuk,Rüzgar Kıran
Konya,Nohut,Taşlı,Soğuk,Damla Sulama
Tokat,Arpa,Kireçli,Yüksek Rakım,Toprak Analizi
Ardahan,Mercimek,Asidik,Kışı Uzun,Yağmur Suyu Toplama
Tunceli,Zeytin,Asidik,Akdeniz,Organik Gübre
Kastamonu,Arpa,Kırmızı,Kışı Uzun,Malçlama
Konya,Elma,Tuzlu,Kurak,Bitki Örtüsü Koruma
Erzincan,Mısır,Killi,Akdeniz,Toprak Analizi
Kırklareli,Kabak,Çorak,Nemli,Bitki Örtüsü Koruma
Balıkesir,Pamuk,Taşlı,Alçak Rakım,Azot Takviyesi
Rize,Fasulye,Kahverengi,Alçak Rakım,Damla Sulama
Kocaeli,Biber,Çorak,Don Tehlikesi,Nöbetleşe Ekim
Eskişehir,Domates,Toprak B,Kurak,Nöbetleşe Ekim
Eskişehir,Biber,Organik,Don Tehlikesi,Kompost
Nevşehir,Kayısı,Asidik,Sıcak,Malçlama
Karaman,Nohut,Kireçli,Karasal,Organik Gübre
Hakkâri,Domates,Çorak,Soğuk,Nöbetleşe Ekim
Niğde,Patates,Zayıf,Rüzgarlı,Kompost
Sakarya,Fasulye,Verimli,Alçak Rakım,Nöbetleşe Ekim
Balıkesir,Arpa,Drenajlı,Alçak Rakım,Azot Takviyesi
Düzce,Pamuk,Taşlı,Denizel,Toprak Analizi
Amasya,Soğan,Çorak,Yazı Kısa,Nöbetleşe Ekim
Bayburt,Kayısı,Organik,Nemli,Nöbetleşe Ekim
Kahramanmaraş,Kayısı,Kumlu,Karadeniz,Organik Gübre
Adana,Elma,Kireçli,Az Yağışlı,Malçlama
Konya,Fasulye,Drenajlı,Soğuk,Kompost
Bilecik,Çilek,Bazik,Ilıman,Malçlama
Gümüşhane,Buğday,Bazik,Yüksek Rakım,Organik Gübre
Çanakkale,Nohut,Alüvyal,Yazı Kısa,Kompost
Aydın,Soğan,Killi,Ilıman,Organik Gübre
Rize,Kabak,Kireçli,Karasal,Bitki Örtüsü Koruma
Osmaniye,Elma,Drenajlı,Don Tehlikesi,Organik Gübre
Erzincan,Biber,Yumuşak,Karasal,Bitki Örtüsü Koruma
Isparta,Buğday,Killi,Soğuk,Toprak Analizi
Antalya,Biber,Drenajlı,Ilık Kış,Rüzgar Kıran
Kahramanmaraş,Elma,Drenajlı,Ilık Kış,Damla Sulama
Kütahya,Soğan,Asidik,Karadeniz,Rüzgar Kıran
Ağrı,Karpuz,Verimli,Don Tehlikesi,Kompost
Şırnak,Kabak,Yumuşak,Sıcak,Yağmur Suyu Toplama
Karabük,Patates,Verimli,Alçak Rakım,Malçlama
Bartın,Kayısı,Taşlı,Yazı Kısa,Nöbetleşe Ekim
Ardahan,Mısır,Sert,Ilıman,Bitki Örtüsü Koruma
Eskişehir,Nohut,Kırmızı,Yazı Kısa,Toprak Analizi
Iğdır,Arpa,Sert,Kışı Uzun,Bitki Örtüsü Koruma
Bolu,Çilek,Tınlı,Rüzgarlı,Yağmur Suyu Toplama
Trabzon,Pamuk,Bazik,Yazı Kısa,Bitki Örtüsü Koruma
Bingöl,Karpuz,Drenajlı,Kışı Uzun,Bitki Örtüsü Koruma
Kilis,Biber,Zayıf,Çok Yağışlı,Toprak Analizi
Hatay,Biber,Tuzlu,Yüksek Rakım,Azot Takviyesi
Bilecik,Sarımsak,Toprak A,Nem Düşük,Toprak Analizi
Gümüşhane,Buğday,Çorak,Kışı Uzun,Nöbetleşe Ekim
Eskişehir,Sarımsak,Tınlı,Nem Düşük,Azot Takviyesi
Aydın,Soğan,Zayıf,Denizel,Kompost
Denizli,Çilek,Tınlı,Rüzgarlı,Bitki Örtüsü Koruma
Muş,Üzüm,Toprak B,Soğuk,Damla Sulama
Aksaray,Arpa,Toprak B,Ilık Kış,Damla Sulama
Mardin,Patates,Kumlu,Yazı Kısa,Bitki Örtüsü Koruma
Konya,Buğday,Kahverengi,Karadeniz,Yağmur Suyu Toplama
Burdur,Elma,Drenajlı,Don Tehlikesi,Malçlama
Tunceli,Kabak,Drenajlı,Karadeniz,Azot Takviyesi
Erzincan,Nohut,Drenajlı,Kışı Uzun,Toprak Analizi
Denizli,Biber,Yumuşak,Nemli,Azot Takviyesi
Sakarya,Pamuk,Kahverengi,Çok Yağışlı,Rüzgar Kıran
Tunceli,Biber,Kırmızı,Denizel,Organik Gübre
Balıkesir,Mısır,Sert,Kışı Uzun,Damla Sulama
Muş,Çilek,Kumlu,Rüzgarlı,Rüzgar Kıran
Şanlıurfa,Ayçiçeği,Kahverengi,Kışı Uzun,Organik Gübre
Iğdır,Sarımsak,Verimli,Denizel,Malçlama
Sinop,Nohut,Kumlu,Kurak,Nöbetleşe Ekim
Diyarbakır,Fasulye,Zayıf,Kurak,Damla Sulama
Bursa,Pamuk,Alüvyal,Çok Yağışlı,Bitki Örtüsü Koruma
Kastamonu,Patates,Verimli,Don Tehlikesi,Rüzgar Kıran
Manisa,Biber,Drenajlı,Nem Düşük,Azot Takviyesi
Antalya,Mercimek,Taşlı,Yazı Kısa,Azot Takviyesi
Sinop,Nohut,Drenajlı,Çok Yağışlı,Malçlama
Konya,Patates,Organik,Az Yağışlı,Rüzgar Kıran
Trabzon,Kayısı,Organik,Karadeniz,Kompost
Şırnak,Sarımsak,Kumlu,Don Tehlikesi,Toprak Analizi
Osmaniye,Arpa,Yumuşak,Kurak,Kompost
Şanlıurfa,Mısır,Organik,Nem Düşük,Yağmur Suyu Toplama
Şanlıurfa,Patates,Çorak,Yüksek Rakım,Nöbetleşe Ekim
Mardin,Elma,Toprak B,Denizel,Rüzgar Kıran
Bolu,Domates,Kırmızı,Nemli,Yağmur Suyu Toplama
Muş,Ayçiçeği,Zayıf,Akdeniz,Malçlama
Tekirdağ,Nohut,Çorak,Karasal,Azot Takviyesi
Eskişehir,Nohut,Kireçli,Az Yağışlı,Rüzgar Kıran
Bursa,Arpa,Bazik,Az Yağışlı,Damla Sulama
Osmaniye,Biber,Killi,Sıcak,Bitki Örtüsü Koruma
Sinop,Sarımsak,Kahverengi,Kışı Uzun,Yağmur Suyu Toplama
Uşak,Soğan,Yumuşak,Soğuk,Malçlama
Çorum,Karpuz,Kırmızı,Çok Yağışlı,Organik Gübre
Antalya,Nohut,Bazik,Denizel,Bitki Örtüsü Koruma
Bartın,Patates,Kumlu,Kurak,Azot Takviyesi
Amasya,Çilek,Taşlı,Yarı Kurak,Rüzgar Kıran
Tokat,Domates,Tınlı,Rüzgarlı,Azot Takviyesi
Aksaray,Sarımsak,Toprak A,Kurak,Damla Sulama
Malatya,Soğan,Kumlu,Ilıman,Azot Takviyesi
Bartın,Mısır,Tınlı,Az Yağışlı,Damla Sulama
Bayburt,Elma,Toprak B,Kışı Uzun,Nöbetleşe Ekim
Çorum,Biber,Yumuşak,Az Yağışlı,Bitki Örtüsü Koruma
Malatya,Kayısı,Alüvyal,Denizel,Organik Gübre
Iğdır,Üzüm,Toprak A,Kışı Uzun,Organik Gübre
Tunceli,Patates,Alüvyal,Alçak Rakım,Toprak Analizi
Kahramanmaraş,Patates,Sert,Karadeniz,Nöbetleşe Ekim
Tokat,Ayçiçeği,Tuzlu,Kurak,Kompost
Muş,Fasulye,Verimli,Akdeniz,Organik Gübre
Iğdır,Mercimek,Tınlı,Kışı Uzun,Damla Sulama
Muğla,Sarımsak,Tınlı,Yazı Kısa,Kompost
Şırnak,Üzüm,Kahverengi,Sıcak,Nöbetleşe Ekim
Yalova,Üzüm,Organik,Ilıman,Kompost
Amasya,Üzüm,Taşlı,Alçak Rakım,Kompost
Aydın,Biber,Zayıf,Soğuk,Damla Sulama
Osmaniye,Mercimek,Killi,Kurak,Bitki Örtüsü Koruma
Muğla,Soğan,Kumlu,Çok Yağışlı,Toprak Analizi
Mersin,Domates,Kırmızı,Kurak,Malçlama
Erzincan,Domates,Zayıf,Karadeniz,Azot Takviyesi
Kırşehir,Çilek,Bazik,Nemli,Yağmur Suyu Toplama
Ağrı,Mısır,Killi,Nem Düşük,Yağmur Suyu Toplama
Kilis,Arpa,Verimli,Yüksek Rakım,Kompost
Çankırı,Pamuk,Tuzlu,Denizel,Kompost
Hakkâri,Kabak,Kumlu,Kurak,Nöbetleşe Ekim
Burdur,Nohut,Kumlu,Kurak,Damla Sulama
Sivas,Mercimek,Toprak B,Kışı Uzun,Yağmur Suyu Toplama
Bilecik,Zeytin,Killi,Rüzgarlı,Azot Takviyesi
Ankara,Nohut,Bazik,Kurak,Malçlama
Erzincan,Ayçiçeği,Taşlı,Yazı Kısa,Yağmur Suyu Toplama
Ankara,Soğan,Toprak B,Nem Düşük,Toprak Analizi
Bingöl,Üzüm,Kumlu,Don Tehlikesi,Bitki Örtüsü Koruma
Muş,Elma,Tınlı,Don Tehlikesi,Malçlama
Adana,Mısır,Taşlı,Rüzgarlı,Rüzgar Kıran
Sakarya,Domates,Toprak B,Kışı Uzun,Bitki Örtüsü Koruma
Niğde,Ayçiçeği,Verimli,Çok Yağışlı,Organik Gübre
Erzincan,Soğan,Killi,Kurak,Rüzgar Kıran
Konya,Çilek,Drenajlı,Karasal,Malçlama
Şanlıurfa,Çilek,Drenajlı,Denizel,Yağmur Suyu Toplama
Muş,Mercimek,Bazik,Yüksek Rakım,Kompost
Aydın,Buğday,Alüvyal,Karadeniz,Toprak Analizi
Bursa,Mercimek,Organik,Çok Yağışlı,Toprak Analizi
Siirt,Buğday,Taşlı,Karasal,Yağmur Suyu Toplama
Sakarya,Buğday,Çorak,Karadeniz,Azot Takviyesi
Bursa,Üzüm,Tuzlu,Rüzgarlı,Rüzgar Kıran
Siirt,Kayısı,Sert,Akdeniz,Rüzgar Kıran
Osmaniye,Üzüm,Çorak,Denizel,Toprak Analizi
Uşak,Zeytin,Tuzlu,Kışı Uzun,Nöbetleşe Ekim
Kars,Karpuz,Verimli,Yarı Kurak,Azot Takviyesi
Denizli,Zeytin,Kırmızı,Karasal,Organik Gübre
Ankara,Domates,Tuzlu,Karadeniz,Kompost
Muğla,Ayçiçeği,Sert,Ilıman,Yağmur Suyu Toplama
Diyarbakır,Sarımsak,Tuzlu,Karasal,Yağmur Suyu Toplama
Adana,Mercimek,Toprak A,Yarı Kurak,Rüzgar Kıran
Zonguldak,Karpuz,Kumlu,Karadeniz,Nöbetleşe Ekim
Siirt,Karpuz,Kireçli,Don Tehlikesi,Damla Sulama
Ankara,Karpuz,Sert,Az Yağışlı,Rüzgar Kıran
Antalya,Domates,Kireçli,Kurak,Yağmur Suyu Toplama
Kırklareli,Ayçiçeği,Sert,Ilık Kış,Azot Takviyesi
Van,Buğday,Killi,Karasal,Malçlama
Kastamonu,Karpuz,Yumuşak,Ilık Kış,Toprak Analizi
Afyonkarahisar,Mercimek,Çorak,Kışı Uzun,Kompost
Afyonkarahisar,Kabak,Kırmızı,Denizel,Damla Sulama
Sakarya,Arpa,Kumlu,Nemli,Toprak Analizi
Uşak,Zeytin,Toprak A,Ilıman,Toprak Analizi
Edirne,Biber,Yumuşak,Az Yağışlı,Yağmur Suyu Toplama
Adıyaman,Fasulye,Verimli,Soğuk,Organik Gübre
Amasya,Mercimek,Taşlı,Alçak Rakım,Kompost
Tunceli,Kabak,Toprak A,Kurak,Toprak Analizi
Kastamonu,Pamuk,Çorak,Yazı Kısa,Malçlama
Aydın,Karpuz,Bazik,Nem Düşük,Toprak Analizi
Manisa,Karpuz,Taşlı,Rüzgarlı,Rüzgar Kıran
Gümüşhane,Mısır,Asidik,Don Tehlikesi,Bitki Örtüsü Koruma
Uşak,Kabak,Zayıf,Nemli,Toprak Analizi
Batman,Patates,Çorak,Karadeniz,Yağmur Suyu Toplama
Sakarya,Elma,Asidik,Yüksek Rakım,Bitki Örtüsü Koruma
Hatay,Nohut,Kumlu,Kışı Uzun,Toprak Analizi
Kars,Kabak,Alüvyal,Alçak Rakım,Toprak Analizi
Diyarbakır,Kayısı,Toprak B,Alçak Rakım,Nöbetleşe Ekim
Erzincan,Biber,Yumuşak,Denizel,Rüzgar Kıran
Gaziantep,Kabak,Killi,Denizel,Toprak Analizi
Trabzon,Arpa,Verimli,Ilıman,Malçlama
Eskişehir,Kayısı,Sert,Ilıman,Nöbetleşe Ekim
Tekirdağ,Arpa,Verimli,Çok Yağışlı,Azot Takviyesi
Isparta,Ayçiçeği,Sert,Ilık Kış,Yağmur Suyu Toplama
Mardin,Zeytin,Verimli,Alçak Rakım,Toprak Analizi
Kırşehir,Kabak,Kireçli,Karasal,Malçlama
Kırıkkale,Nohut,Kahverengi,Yüksek Rakım,Azot Takviyesi
Antalya,Arpa,Killi,Yazı Kısa,Toprak Analizi
Artvin,Fasulye,Kireçli,Yazı Kısa,Bitki Örtüsü Koruma
Kastamonu,Kayısı,Yumuşak,Kurak,Organik Gübre
Isparta,Zeytin,Organik,Karadeniz,Kompost
Karabük,Elma,Zayıf,Karadeniz,Yağmur Suyu Toplama
Şırnak,Mısır,Çorak,Az Yağışlı,Yağmur Suyu Toplama
Yozgat,Arpa,Çorak,Kurak,Azot Takviyesi
Giresun,Karpuz,Kahverengi,Çok Yağışlı,Organik Gübre
Antalya,Çilek,Toprak B,Kışı Uzun,Toprak Analizi
Karabük,Çilek,Kahverengi,Kışı Uzun,Azot Takviyesi
Sinop,Fasulye,Taşlı,Rüzgarlı,Organik Gübre
Düzce,Ayçiçeği,Bazik,Karasal,Organik Gübre
Muş,Fasulye,Sert,Kışı Uzun,Malçlama
Eskişehir,Çilek,Bazik,Yarı Kurak,Kompost
Çorum,Sarımsak,Kahverengi,Ilık Kış,Bitki Örtüsü Koruma
Antalya,Zeytin,Taşlı,Yüksek Rakım,Rüzgar Kıran
Konya,Mısır,Alüvyal,Karasal,Malçlama
İstanbul,Patates,Organik,Ilık Kış,Kompost
Konya,Fasulye,Taşlı,Akdeniz,Kompost
Gaziantep,Mısır,Kireçli,Yarı Kurak,Kompost
Kırklareli,Çilek,Bazik,Çok Yağışlı,Toprak Analizi
Düzce,Domates,Tuzlu,Alçak Rakım,Nöbetleşe Ekim
Hatay,Karpuz,Kireçli,Alçak Rakım,Organik Gübre
Tekirdağ,Mısır,Asidik,Sıcak,Damla Sulama
Bayburt,Biber,Taşlı,Az Yağışlı,Yağmur Suyu Toplama
Gaziantep,Mısır,Sert,Akdeniz,Malçlama
Şanlıurfa,Ayçiçeği,Drenajlı,Yazı Kısa,Azot Takviyesi
Çorum,Soğan,Kırmızı,Kışı Uzun,Malçlama
Adıyaman,Elma,Yumuşak,Karadeniz,Damla Sulama
Çankırı,Ayçiçeği,Bazik,Nem Düşük,Azot Takviyesi
Ardahan,Mercimek,Verimli,Don Tehlikesi,Bitki Örtüsü Koruma
Bayburt,Mısır,Organik,Yazı Kısa,Bitki Örtüsü Koruma
Batman,Elma,Drenajlı,Sıcak,Rüzgar Kıran
Malatya,Biber,Drenajlı,Sıcak,Nöbetleşe Ekim
Artvin,Karpuz,Kumlu,Yüksek Rakım,Organik Gübre
Sinop,Biber,Organik,Kurak,Toprak Analizi
Kahramanmaraş,Ayçiçeği,Organik,Rüzgarlı,Azot Takviyesi
Niğde,Arpa,Çorak,Akdeniz,Azot Takviyesi
Ordu,Pamuk,Toprak B,Sıcak,Damla Sulama
Mersin,Nohut,Bazik,Nem Düşük,Damla Sulama
Kastamonu,Karpuz,Toprak B,Rüzgarlı,Kompost
Bolu,Ayçiçeği,Kırmızı,Soğuk,Nöbetleşe Ekim
Kırıkkale,Ayçiçeği,Tınlı,Soğuk,Azot Takviyesi
Siirt,Elma,Taşlı,Yüksek Rakım,Malçlama
Sakarya,Soğan,Çorak,Denizel,Toprak Analizi
Kahramanmaraş,Soğan,Kahverengi,Kurak,Bitki Örtüsü Koruma
Kilis,Zeytin,Bazik,Yüksek Rakım,Toprak Analizi
Ankara,Domates,Toprak B,Yüksek Rakım,Azot Takviyesi
Giresun,Üzüm,Kırmızı,Nem Düşük,Yağmur Suyu Toplama
Sivas,Arpa,Tuzlu,Don Tehlikesi,Organik Gübre
Muğla,Kayısı,Kırmızı,Çok Yağışlı,Kompost
Kahramanmaraş,Domates,Toprak A,Karadeniz,Yağmur Suyu Toplama
Van,Kabak,Sert,Nemli,Bitki Örtüsü Koruma
Kırıkkale,Ayçiçeği,Toprak A,Akdeniz,Toprak Analizi
İstanbul,Ayçiçeği,Sert,Yarı Kurak,Damla Sulama
Bilecik,Çilek,Asidik,Karasal,Kompost
Niğde,Arpa,Toprak A,Ilıman,Rüzgar Kıran
Tokat,Zeytin,Toprak A,Soğuk,Rüzgar Kıran
Van,Karpuz,Tınlı,Yüksek Rakım,Organik Gübre
Bitlis,Karpuz,Asidik,Ilık Kış,Bitki Örtüsü Koruma
Bingöl,Elma,Zayıf,Karasal,Malçlama
Kütahya,Çilek,Toprak B,Akdeniz,Azot Takviyesi
Kırşehir,Kabak,Çorak,Don Tehlikesi,Yağmur Suyu Toplama
Siirt,Kayısı,Kırmızı,Yazı Kısa,Rüzgar Kıran
Van,Nohut,Asidik,Yazı Kısa,Bitki Örtüsü Koruma
Kilis,Kayısı,Killi,Ilıman,Damla Sulama
Tekirdağ,Buğday,Verimli,Alçak Rakım,Damla Sulama
Tokat,Nohut,Toprak A,Yarı Kurak,Organik Gübre
Kastamonu,Zeytin,Çorak,Nem Düşük,Yağmur Suyu Toplama
